epoch,loss,train_acc,test_acc
1,1.3687,0.6464,0.6062
2,1.1184,0.7866,0.7271
3,0.9288,0.7812,0.75
4,0.7646,0.8107,0.7729
5,0.6324,0.8429,0.8167
6,0.5378,0.842,0.8271
7,0.4754,0.8402,0.8146
8,0.4241,0.8732,0.8417
9,0.3711,0.9018,0.8854
10,0.3176,0.9429,0.9187
11,0.27,0.9545,0.925
12,0.2313,0.9839,0.9729
13,0.1972,0.9884,0.9792
14,0.1615,0.9929,0.9854
15,0.1276,0.9955,0.9896
16,0.1009,0.9964,0.9917
17,0.08,0.9982,0.9917
18,0.0613,0.9991,0.9937
19,0.0453,0.9991,0.9937
20,0.0343,0.9991,0.9937
21,0.0273,0.9991,0.9937
22,0.0219,1.0,1.0
23,0.017,1.0,1.0
24,0.0131,1.0,1.0
25,0.0105,1.0,1.0
26,0.0088,1.0,1.0
27,0.0078,1.0,1.0
28,0.0069,1.0,1.0
29,0.006,1.0,1.0
30,0.0052,1.0,1.0
31,0.0046,1.0,1.0
32,0.0042,1.0,1.0
33,0.0041,1.0,1.0
34,0.0039,1.0,1.0
35,0.0038,1.0,1.0
36,0.0037,1.0,1.0
37,0.0036,1.0,1.0
38,0.0036,1.0,1.0
39,0.0036,1.0,1.0
40,0.0037,1.0,1.0
41,0.0039,1.0,1.0
42,0.004,1.0,1.0
43,0.0042,1.0,1.0
44,0.0044,1.0,1.0
45,0.0046,1.0,1.0
46,0.0049,1.0,1.0
47,0.0051,1.0,1.0
48,0.0054,1.0,1.0
49,0.0058,1.0,1.0
50,0.0061,1.0,1.0
51,0.0064,1.0,1.0
52,0.0067,1.0,1.0
53,0.0071,1.0,1.0
54,0.0074,1.0,1.0
55,0.0077,1.0,1.0
56,0.0079,1.0,1.0
57,0.0082,1.0,1.0
58,0.0084,1.0,1.0
59,0.0086,1.0,1.0
60,0.0087,1.0,1.0
61,0.0088,1.0,1.0
62,0.0088,1.0,1.0
63,0.0088,1.0,1.0
64,0.0088,1.0,1.0
65,0.0087,1.0,1.0
66,0.0086,1.0,1.0
67,0.0085,1.0,1.0
68,0.0083,1.0,1.0
69,0.0082,1.0,1.0
70,0.008,1.0,1.0
71,0.0079,1.0,1.0
72,0.0077,1.0,1.0
73,0.0076,1.0,1.0
74,0.0074,1.0,1.0
75,0.0072,1.0,1.0
76,0.0071,1.0,1.0
77,0.007,1.0,1.0
78,0.0068,1.0,1.0
79,0.0067,1.0,1.0
80,0.0066,1.0,1.0
81,0.0066,1.0,1.0
82,0.0065,1.0,1.0
83,0.0064,1.0,1.0
84,0.0064,1.0,1.0
85,0.0063,1.0,1.0
86,0.0063,1.0,1.0
87,0.0062,1.0,1.0
88,0.0062,1.0,1.0
89,0.0062,1.0,1.0
90,0.0061,1.0,1.0
91,0.0061,1.0,1.0
92,0.0061,1.0,1.0
93,0.0061,1.0,1.0
94,0.006,1.0,1.0
95,0.006,1.0,1.0
96,0.006,1.0,1.0
97,0.006,1.0,1.0
98,0.0059,1.0,1.0
99,0.0059,1.0,1.0
100,0.0059,1.0,1.0
